pot_id,plant_id,species,variety_accession,source,substrate,pot_type_size,life_stage,orga_level,temperature,start_germination,date_1st_germination,start_seedlings,start_flowering,Date_death,biomass_harvest_date,Biomass_g,chamber,Position_quadrant,Remarks
BR013S30,BR013S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,18.04.2025,NA,20.05.2025,0.79000000000000004,32035,5,NA
BR014S30,BR014S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.25,32035,2,NA
BR015S30,BR015S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.92000000000000004,32035,2,NA
BR016S30,BR016S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.80000000000000004,32035,1,NA
BR017S30,BR017S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,19.04.2025,NA,20.05.2025,0.94999999999999996,32035,5,NA
BR018S30,BR018S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,19.04.2025,NA,20.05.2025,0.55000000000000004,32035,2,NA
BR019S30,BR019S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.72999999999999998,32035,3,NA
BR020S30,BR020S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,19.04.2025,NA,20.05.2025,0.65000000000000002,32035,3,NA
BR021S30,BR021S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,19.04.2025,NA,20.05.2025,0.66000000000000003,32035,6,NA
BR022S30,BR022S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,19.04.2025,NA,20.05.2025,0.84999999999999998,32035,6,NA
BR023S30,BR023S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.75,32035,1,NA
BR024S30,BR024S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,19.04.2025,NA,20.05.2025,0.95999999999999996,32035,4,NA
BR025S30,BR025S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,19.04.2025,NA,20.05.2025,0.69999999999999996,32035,5,NA
BR026S30,BR026S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.1799999999999999,32035,1,NA
BR027S30,BR027S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.83999999999999997,32035,3,NA
